,cash,short_bond,credit,long_bond,equity_div,equity_growth,equity_theme,reits,gold,commodity,overseas
cash,1.000000,0.100000,0.050000,-0.000000,-0.100000,-0.120000,-0.120000,-0.050000,-0.050000,0.000000,-0.100000
short_bond,0.100000,1.000000,0.350000,0.400000,-0.150000,-0.180000,-0.180000,-0.100000,-0.050000,0.050000,-0.120000
credit,0.050000,0.350000,1.000000,0.500000,0.150000,0.180000,0.180000,0.200000,-0.050000,0.100000,0.200000
long_bond,-0.000000,0.400000,0.500000,1.000000,-0.250000,-0.280000,-0.280000,-0.100000,-0.100000,0.050000,-0.200000
equity_div,-0.100000,-0.150000,0.150000,-0.250000,1.000000,0.800000,0.720000,0.500000,-0.100000,0.150000,0.700000
equity_growth,-0.120000,-0.180000,0.180000,-0.280000,0.800000,1.000000,0.850000,0.550000,-0.100000,0.200000,0.750000
equity_theme,-0.120000,-0.180000,0.180000,-0.280000,0.720000,0.850000,1.000000,0.450000,-0.100000,0.220000,0.720000
reits,-0.050000,-0.100000,0.200000,-0.100000,0.500000,0.550000,0.450000,1.000000,-0.050000,0.100000,0.450000
gold,-0.050000,-0.050000,-0.050000,-0.100000,-0.100000,-0.100000,-0.100000,-0.050000,1.000000,0.200000,-0.050000
commodity,0.000000,0.050000,0.100000,0.050000,0.150000,0.200000,0.220000,0.100000,0.200000,1.000000,0.150000
overseas,-0.100000,-0.120000,0.200000,-0.200000,0.700000,0.750000,0.720000,0.450000,-0.050000,0.150000,1.000000
